Speed,Latitude,Longitude 
Red Light,-33.883855,151.007272
Red Light,-33.884408,151.198648
Red Light,-33.891965,151.038551
Red Light,-33.76819,150.75789
Red Light,-33.861433,151.10623
Red Light,-34.37354,150.90063
Red Light,-33.826305,151.19927
Red Light,-33.894633,151.11099
Red Light,-33.876918,151.228798
Red Light,-33.879455,151.215372
Red Light,-33.879094,151.215134
Red Light,-33.874377,151.216514
Red Light,-33.733478,150.849438
Red Light,-33.758421,151.280916
Red Light,-33.851198,151.154595
Red Light,-33.788493,150.853669
Red Light,-33.788626,151.085751
Red Light,-33.793398,151.078279
Red Light,-33.77115,151.080575
Red Light,-33.814233,151.055999
Red Light,-33.872385,150.9372
Red Light,-33.872813,150.945605
Red Light,-33.864415,150.954514
Red Light,-34.438881,150.857774
Red Light,-33.870113,151.130631
Red Light,-33.872838,151.125958
Red Light,-33.721085,150.937967
Red Light,-33.830543,151.012097
Red Light,-33.82788,151.00461
Red Light,-33.908191,151.06418
Red Light,-33.90279,151.05792
Red Light,-33.87268,150.90003
Red Light,-33.830034,150.960491
Red Light,-33.855902,150.994868
Red Light,-33.870756,151.142217
Red Light,-33.887387,151.141724
Red Light,-33.87485,151.134598
Red Light,-32.924204,151.74726
Red Light,-32.926876,151.757796
Red Light,-33.882861,151.203981
Red Light,-33.882643,151.204378
Red Light,-33.855944,151.071924
Red Light,-33.824305,151.132611
Red Light,-33.909919,151.223291
Red Light,-33.928021,151.108939
Red Light,-33.92945,151.098558
Red Light,-33.951196,151.09138
Red Light,-34.034763,151.066413
Red Light,-33.978668,151.122791
Red Light,-33.911377,151.073162
Red Light,-32.914583,151.725936
Red Light,-33.810788,151.163786
Red Light,-33.888925,150.973789
Red Light,-33.889992,150.972628
Red Light,-33.875086,151.155788
Red Light,-33.865136,151.041569
Red Light,-33.928038,150.918027
Red Light,-33.919025,150.9196
Red Light,-33.924521,150.920698
Red Light,-33.922154,150.921151
Red Light,-33.93988,151.239244
Red Light,-33.909568,151.162081
Red Light,-33.924603,151.190366
